"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2023,4,"22. (i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) – Yes (ii) Turnover (in",1,"weak","Mention only","SDG 12, SDG 13","aspiration","","","The company acknowledges the challenges of waste management and its environmental impact.","Solid waste disposal and management pose significant challenges. Lack of proper treatment of waste causes several spillover effects, including organic decay of matter that contributes to GHG emissions and non-decay of single- use plastics that clog the natural ecosystem."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",1,"weak","Mention only","SDG 5, SDG 10","aspiration","","","The company aims to foster a diverse and inclusive workplace culture.","Together, these constitute the foundation for promoting a diverse and inclusive culture at the workplace."
2023,21,"PRINCIPLE 5: Businesses should respect and promote human rights Essential Indicators 1.",1,"weak","Mention only","SDG 5, SDG 10","aspiration","","","The company promotes diversity and inclusion as a core value, aiming to create a welcoming and inclusive work environment.","The Company believes in promoting diversity & inclusion as a culture which allows all employees to bring their authentic selves to work and contribute wholly with their skills, experience and perspective for creating unmatched value for all stakeholders."
2024,48,"CLIMATE CHANGE",8,"strong","In progress","SDG 13","kpi, target, measured_outcome","✓","","The company reports its CO2 emission intensity, reduction targets, and progress towards carbon neutrality.","‘000 tCO2 CO2 emission intensity tCO2/tcs 2.36 FY23 2.50 FY22 2.44 FY24 2.44 tCO2/tcs Specific CO2 emissions from our three ISPs 28% Reduction compared to the baseline of 2005 0.26 tCO2/tonne of product* Carbon footprint of JSW Steel Coated Products Target 2030 FY 2023-24 Progress Reducing specific CO2 emissions from our three ISPs to < 1.95 tCO2/tcs Achieving carbon neutrality at JSW Steel Coated Products 49,359.39 FY23 44,211.31 FY22 53,167.64 FY24 * Equivalent product for Vasind, Tarapur and Kalmeshwar Net Neutral by 2050"
2024,48,"CLIMATE CHANGE",8,"strong","Measurable","SDG 13","kpi, measured_outcome","✓","","The company reports avoided emissions of 5.25 million tCO2 and total emissions of 12.22 million tCO2 across various categories.","During the reporting period, we had a credit due to avoided emissions of about 5.25 million tCO2 in the categories of Use of Sold Products and Processing of Sold Products, as per the guidance of Worldsteel. The following categories contributed around 12.22 million tCO2 emissions: ∞Purchased goods and services ∞Fuel & Energy related activities ∞Upstream transportation and distribution ∞Waste generated in operation ∞Business travel ∞Employee commute ∞Downstream transportation and distribution The Scope 3 emissions of all applicable categories were calculated in accordance with the technical guidance for calculating Scope 3 emissions issued by the GHG protocol."
2024,76,"COMMITTED TO THE GREATER GOOD",8,"strong","In progress","SDG 3","measured_outcome, initiative","✓","✓","AI-powered screenings reached 7,500 individuals, with 23% testing presumptive positive for tuberculosis.","Harnessing cutting-edge AI technology, we have conducted screenings that have reached 7,500 individuals. Alarmingly, 23% of those screened were identified as presumptive positive cases—double the national average of 0.5% of active TB cases per 1,00,000 population, reported by the National Tuberculosis Elimination Programme (NTEP)."
2024,63,"LOCAL CONSIDERATIONS",8,"strong","Measurable","SDG 3, SDG 7","initiative, measured_outcome","✓","","The company provided solar energy backup to Primary Health Centres in Vijaynagar, ensuring reliable energy for healthcare services.","Interventions Outcomes VIJAYANAGAR Energy security for community Primary Health Centres (PHCs) through the provision of solar energy backup Allows local communities to access reliable and efficient energy systems for the delivery of community health services in an uninterrupted manner"
2024,63,"LOCAL CONSIDERATIONS",8,"strong","Measurable","SDG 6","initiative, measured_outcome","✓","","The company renovated a water pond in Nandihalli, significantly increasing its water holding capacity.","Renovation of water pond at Nandihalli Significant increase in the water holding capacity, with an additional 12,000 cubic metres"
2024,76,"COMMITTED TO THE GREATER GOOD",7,"strong","In progress","SDG 3","initiative, target","✓","✓","The company is collaborating with the government to eradicate tuberculosis in 1,000 villages.","In partnership with the Central Tuberculosis (TB) Division, Government of India, we have embarked on an ambitious journey with the TB Mukt India initiative. This programme aims to eradicate tuberculosis from 1,000 villages by focusing on early detection and intervention."
2024,63,"LOCAL CONSIDERATIONS",7,"strong","In progress","SDG 1, SDG 2","initiative, measured_outcome","✓","","The company implemented agriculture best practices in DOLVI, reaching approximately 5,000 community members.","DOLVI Enhancement of livelihood through agriculture best practices ~5,000 community members reached"
2024,63,"LOCAL CONSIDERATIONS",7,"strong","In progress","SDG 3, SDG 4, SDG 6, SDG 11, SDG 13","initiative, measured_outcome","✓","","The company conducts regular on-ground reviews of various community parameters, reaching approximately 35,000 community members.","Implementation of regular on-ground reviews of various health, livelihood, education, water and environment parameters ~35,000 community members reached"
2024,63,"LOCAL CONSIDERATIONS",7,"strong","In progress","SDG 11, SDG 12, SDG 13","initiative, measured_outcome","✓","","The company aims to achieve a zero-dumping project across 23 villages, reaching approximately 15,000 households.","To achieve a zero-dumping project for 23 villages across 15 gram panchayats ~15,000 households reached"
2024,45,"At JSW, our vision is to actively contribute to society's development in a socially, ethically, and environmentally responsible manner. Our goal is to ensure that our actions support meeting the needs of all, without compromising the ability of future generations to meet their own needs. SUSTAIN Mainstreaming sustainability across the businesses",6,"strong","Measurable","SDG 13","kpi","✓","","The company has reduced CO2 emissions by 28% from the base year.","CO2 emissions from base year 28%"
2024,21,"Charting a greener path, targeting Net Neutral by 2050",6,"strong","Planned","SDG 7, SDG 13","initiative, target, kpi","✓","","The company plans to add 600 MW of solar and wind energy and 320 MWh of battery storage, increasing their total renewable energy procurement to over 1.6 GW.","We have been progressing on our energy transition journey, with planned addition of 600 MW of solar and wind energy, combined with 320 MWh of battery storage. This takes our total renewable energy procurement to over 1.6 GW."
2024,10,"Our decarbonisation commitments",6,"strong","In progress","SDG 13","initiative, policy","✓","","The company plans to invest US$1 billion in reducing carbon emissions and has already raised US$500 million through sustainability-linked bonds.","In our pursuit of reduced carbon emissions, we plan to invest US$1 billion across our operations. We became the first steel company globally to raise US$500 million through US dollar-denominated Sustainability Linked Bonds."
2024,48,"CLIMATE CHANGE",6,"strong","In progress","SDG 13","policy, initiative, target","","","The company acknowledges climate change, committed to reducing emissions, and published a Climate Action Report aligning with TCFD recommendations.","We acknowledge the global challenge of climate change and have committed to reducing our emissions to contribute to its mitigation. In March 2021, we pledged to adopt and uphold the recommendations of the TCFD. By aligning with these recommendations across its four pillars, we aim to enhance our understanding of climate change impacts and make informed decisions on current and future decarbonisation strategies. We released our first Climate Action Report. The key aim of this Report is to present in an engaging and informative manner our challenging decarbonisation strategy and the actions into which that strategy translates. This Report demonstrates our alignment to recommendations of the TCFD and provides stakeholders with: ‘clear, comprehensive, high-quality information on the impacts of climate change’. It addresses the four thematic areas of the TCFD: Governance, Strategy, Risk Management, and Metrics and Targets."
2024,19,"Advancing our sustainability agenda",5,"moderate","Planned","SDG 13","target, kpi","✓","","The company aims to reduce CO2 emissions intensity by 42% by 2030.","A major component of JSW Steel’s approach to sustainability includes a targeted reduction in CO2 emissions intensity, aiming for a 42% reduction to reach 1.95 tonnes of CO2 per tonne of crude steel by 2030."
2024,45,"At JSW, our vision is to actively contribute to society's development in a socially, ethically, and environmentally responsible manner. Our goal is to ensure that our actions support meeting the needs of all, without compromising the ability of future generations to meet their own needs. SUSTAIN Mainstreaming sustainability across the businesses",5,"moderate","In progress","SDG 7, SDG 13","initiative","✓","","The company has commissioned a 225MW solar power plant and uses solar power in steelmaking.","Solar power plant commissioned and solar power used in steelmaking 225MW"
2024,45,"At JSW, our vision is to actively contribute to society's development in a socially, ethically, and environmentally responsible manner. Our goal is to ensure that our actions support meeting the needs of all, without compromising the ability of future generations to meet their own needs. SUSTAIN Mainstreaming sustainability across the businesses",5,"moderate","Planned","SDG 7, SDG 13","initiative, target","✓","","The company plans to install 10 GW of renewable energy capacity by 2030, transitioning from thermal energy.","Transition from thermal to renewable energy (RE)- installation of 10 GW RE capacities by 2030"
2024,129,"STATUTORY REPORTS |",5,"moderate","In progress","SDG 15","initiative","✓","","JSW Steel initiated a biodiversity initiative to develop a green belt at Sasan Vana Biodiversity Park spanning 240 acres.","At Vijayanagar, a biodiversity initiative to develop a green belt at Sasan Vana Biodiversity Park spanning 240 acres of land has been initiated."
2024,129,"STATUTORY REPORTS |",5,"moderate","In progress","SDG 13","initiative","✓","","JSW Steel's Mahavanam initiative aims to grow 'Mini Urban Forests' to reduce the average temperature by 2°C.","At Salem, Mahavanam is an effort to grow ‘Mini Urban Forests’ in the Mecheri Union to reduce the average temperature by 2°C."
2024,10,"Our decarbonisation commitments",5,"moderate","Planned","SDG 13","target, kpi","✓","","The company aims to reduce its direct and indirect emissions intensity by over 60% by 2050 and achieve net-zero emissions by 2050.","For India's iron and steel sector, this translates to a reduction in direct emission intensity by over 60% by 2050, with JSW Steel setting a trajectory to achieve a derived emissions intensity of zero by 2050, encompassing both direct (Scope 1) and indirect (Scope 2) emissions."
2024,48,"CLIMATE CHANGE",5,"moderate","In progress","SDG 7, SDG 13","initiative, policy","","","The company partners with various organizations to combat climate change and develop sustainable solutions.","Collaborations Recognising the collective effort needed to combat climate change, we partner with academia and industry to develop scalable solutions. We are actively involved in initiatives and alliances such as the International Renewable Energy Agency (IRENA), India Hydrogen Alliance (IH2A), World Steel Association, Science Based Targets initiative (SBTi), United Nations Global Compact (UNGC), Responsible Steel, World Business Council for Sustainable Development (WBCSD), Task Force on Climate-related Financial Disclosures (TCFD), Climate Action Charter, Global Reporting Initiative (GRI), and Indian Business Biodiversity Initiative (IBBI). Additionally, we are founding members of EV100+, an initiative aiming to phase out heavy-polluting vehicles. We also collaborate with various companies to enhance energy efficiency and explore cutting-edge climate technologies."
2024,48,"CLIMATE CHANGE",5,"moderate","In progress","SDG 13","initiative, policy","","","The company monitors its Scope 3 emissions to understand and reduce its environmental impact.","On Track Scope 3 emissions We monitor our Scope 3 emissions to gain a thorough understanding of the complete greenhouse gas impacts of our supply chain. This approach enables us to effectively oversee our environmental impact and actively pursue strategies aimed at diminishing our overall carbon footprint."
2024,129,"STATUTORY REPORTS |",5,"moderate","In progress","SDG 13","initiative","✓","","The company operates a Carbon Capture and Utilization (CCU) facility with a capacity of 100TPD.","We are operating a CCU of 100TPD capacity where CO2 is captured and refined for use in the food & beverage industry."
2024,32,"Creating Value RISK MANAGEMENT Cyber security Carbon Border Adjust- ment Mechanism risk Environment protection and climate change Impact",5,"moderate","In progress","SDG 7, SDG 13","initiative, target","","","The company is actively transitioning towards renewable energy sources for steel production.","We have started using renewable power in steelmaking, and are aiming to increase the use of renewables in steelmaking every year."
2024,32,"Creating Value RISK MANAGEMENT Cyber security Carbon Border Adjust- ment Mechanism risk Environment protection and climate change Impact",5,"moderate","In progress","SDG 9, SDG 13","initiative, target","","","The company invests in advanced technologies to minimize dust emissions from its operations.","We have also installed advanced technologies like MEROS in sinter plants to further reduce dust emissions which are capex intensive."
2024,104,"Highlights of safety initiatives Skill assessment of contract workmen Safety Experience Centres at plants Safety Champion programme for employees Pre-qualification",5,"moderate","Planned","SDG 13","policy, target","","✓","JSW Steel's board approved a commitment to achieve net-zero carbon emissions by 2050.","In January 2024, the Board approved JSW Steel's commitment to achieving a status of net neutral in its carbon emissions by 2050, significantly ahead of India's Net Zero commitment of 2070."
2024,104,"Highlights of safety initiatives Skill assessment of contract workmen Safety Experience Centres at plants Safety Champion programme for employees Pre-qualification",5,"moderate","In progress","SDG 7, SDG 13","initiative, policy","","","JSW Steel joined the India H2 Alliance to promote the transition to cleaner energy through hydrogen.","JSW Steel joined the India H2 Alliance (IH2A) to drive the transition to cleaner energy. IH2A is an industry coalition focused on creating a hydrogen value- chain and economy in India."
2024,22,"TOWARDS A GREENER, STRONGER FUTURE MESSAGE FROM THE JMD AND CEO Dear Stakeholders,",5,"moderate","In progress","SDG 4","initiative","✓","","The company supports education initiatives like 'JSW Room to Read' which improve reading habits and school infrastructure.","In education, our efforts to transform schools in North Karnataka are complemented by the 'JSW Room to Read' project, which has significantly improved reading habits among students and revitalised school infrastructures in Maharashtra, creating nurturing educational environments."
2024,129,"STATUTORY REPORTS |",5,"moderate","Planned","SDG 13","policy, initiative, target","","","The company has established targets for decarbonization, a climate change policy, and a dedicated group to drive climate action.","We have developed clear targets for decarbonisation, have a dedicated climate change policy, and instituted a Climate Action Group to drive the organisation’s climate action agenda."
2024,129,"STATUTORY REPORTS |",5,"moderate","In progress","SDG 7, SDG 12","initiative, policy","","","The company uses energy-efficient systems, conserves resources, and is evaluating the production of green electricity.","We have adopted state-of-the-art and energy-efficient systems and practices across our operations. This helps us continuously conserve resources and energy and consequently keep our input costs under control. Further, as part of our long-term plan, we are evaluating the building of adequate infrastructure to produce green electricity as a part of our overall energy portfolio."
2024,76,"COMMITTED TO THE GREATER GOOD",5,"moderate","In progress","SDG 3","aspiration, initiative","","✓","The company aims to create a tuberculosis-free India through collaborative efforts.","Through targeted efforts and strategic collaboration, we are building a healthier and TB-free India."
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 13","target","✓","","The company has set targets to reduce CO2 emissions intensity by 42% by 2030 and achieve net-zero emissions by 2050.","The Company has set a target to reduce its CO2 emission intensity by 42% by 2030 (from 2005 base year), and become Net Neutral in carbon emissions for all operations under its direct control by 2050"
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 13","initiative","✓","","The company has allocated USD 1.25 billion to initiatives aimed at reducing CO2 emissions by 2030.","The Company has earmarked USD 1.25 billion dollars towards initiatives to reduce our CO2 emissions to achieve its 2030 target"
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 7","target, aspiration","✓","","The company aims to power its operations with 10 GW of renewable energy capacity by 2030.","As the Company aims to increase its capacity, it aspires to power its entire setup through 10 GW of renewable capacity by 2030"
2024,129,"STATUTORY REPORTS |",4,"moderate","In progress","SDG 7, SDG 13","initiative","","","The company is implementing green hydrogen in its DRI plant to reduce carbon emissions in steel production.","Another step initiated is to incorporate green hydrogen into our Direct Reduced Iron ('DRI') plant at the Company's flagship unit Vijayanagar in the State of Karnataka -, propelling the Company forward in the production of low-carbon-emission steel"
2024,45,"At JSW, our vision is to actively contribute to society's development in a socially, ethically, and environmentally responsible manner. Our goal is to ensure that our actions support meeting the needs of all, without compromising the ability of future generations to meet their own needs. SUSTAIN Mainstreaming sustainability across the businesses",4,"moderate","Planned","SDG 13","target","✓","","The company aims to reduce CO2 emission intensity to 1.95 tCO2/tcs by 2030, aligned with India's Nationally Determined Contributions.","42% of CO2 emission intensity to 1.95 tCO2/tcs by 2030, aligned with India’s NDCs"
2024,129,"STATUTORY REPORTS |",4,"moderate","In progress","SDG 13","policy","","","JSW Steel's strategy focuses on reducing both point-source and non-point source pollution.","The Company strategy focuses on reducing both point-source (such as stack emissions) and non-point source (such as fugitive emissions) pollution."
2024,21,"Charting a greener path, targeting Net Neutral by 2050",4,"moderate","In progress","SDG 13","initiative","","","The company published a Climate Action Report outlining progress towards decarbonisation.","We recently published our first Climate Action Report, which outlines our progress towards decarbonisation and future endeavours."
2024,21,"Charting a greener path, targeting Net Neutral by 2050",4,"moderate","In progress","SDG 4, SDG 8","initiative","","","The company launched the JSW Steel Technical Academy, an e-learning platform.","We recently launched the JSW Steel Technical Academy, which is a curated and self-paced e-learning platform."
2024,21,"Charting a greener path, targeting Net Neutral by 2050",4,"moderate","In progress","SDG 5, SDG 8","initiative","","","The company hired ex-servicewomen from the Armed Forces in core technical functions.","Along with this, we hired ex-servicewomen from the Armed Forces in core technical functions."
2024,10,"Our decarbonisation commitments",4,"moderate","Planned","SDG 13","policy, initiative","","","The company has a roadmap to achieve net-zero carbon emissions by 2050, exceeding India's national commitment.","We have established a clear roadmap to become net neutral in carbon emissions for all operations under our direct control by 2050, much ahead of India’s commitment to the world by 2070."
2024,10,"Our decarbonisation commitments",4,"moderate","In progress","SDG 13","initiative","","","The company has a flagship decarbonization initiative called Project SEED, launched at Vijayanagar and extended to Dolvi.","Project SEED (Sustainable Energy Environment and Decarbonisation), our flagship decarbonisation initiative, initially launched at Vijayanagar and extended to Dolvi this year, is at the forefront of our efforts."
2024,48,"CLIMATE CHANGE",4,"moderate","In progress","SDG 13","initiative","","","The company mentions its collaboration with academia and industry to develop climate change solutions.","Recognising the collective effort needed to combat climate change, we partner with academia and industry to develop scalable solutions. We are actively involved in initiatives and alliances such as the"
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 13","target","✓","","The company has set a target to reduce CO2 emissions by 42% by 2030.","We have set ourselves an ambitious CO2 emission reduction target of 42% reduction over a base year of 2005 till 2030."
2024,129,"STATUTORY REPORTS |",4,"moderate","In progress","SDG 9, SDG 13","initiative","","","The company operates an Electric Arc Furnace (EAF) that utilizes waste plastic, reducing GHG emissions and plastic waste.","We are also operating an EAF wherein waste plastic is injected. This has helped reduce GHG and also plastic menace."
2024,129,"STATUTORY REPORTS |",4,"moderate","In progress","SDG 13","initiative","","","The company collaborates with other companies to explore and evaluate CCUS options.","We are also collaborating with various technology and engineering companies to explore and evaluate various Carbon Capture Utilisation and Storage (CCUS) options and their applications."
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 6","policy, initiative","","","The company aims to improve access to safe drinking water and implement sustainable water resource management.","environment and sanitation by ensuring access to safe drinking water, implementing long-term plans for sustainable water resource management and enabling water security for domestic and agriculture usage in communities."
2024,32,"Creating Value RISK MANAGEMENT Cyber security Carbon Border Adjust- ment Mechanism risk Environment protection and climate change Impact",4,"moderate","In progress","SDG 13","initiative","","","The company states its commitment to complying with environmental regulations using the best available technologies.","We are complying with all the applicable norms through use of Best Available Technologies (BATs)."
2024,129,"STATUTORY REPORTS |",4,"moderate","Planned","SDG 8, SDG 3","aspiration, policy","","✓","The company aspires to zero harm in its operations and is committed to providing a safe working environment for all stakeholders.","We aspire to achieve zero harm across all our operations. Health and Safety represent an important part of our group’s values. We are committed to providing a healthy and safe working environment for our employees, contractors, business associates, visitors on-premises and above all communities impacted by our operations."
2024,76,"COMMITTED TO THE GREATER GOOD",4,"moderate","In progress","SDG 1, SDG 4, SDG 8, SDG 10","initiative","","","The JSW Foundation works in rural areas to provide opportunities through education, skill development, and livelihood expansion.","With a strong presence across rural locations, our social development arm, the JSW Foundation, contributes to India’s development by providing life-changing opportunities through education, skill development, expanding livelihood options, and promoting social equity around our plant and port locations."
2024,76,"COMMITTED TO THE GREATER GOOD",4,"moderate","In progress","SDG 1, SDG 8, SDG 10, SDG 17","policy","","","The JSW Foundation prioritizes community ownership and leadership in their projects.","Our investment strategy ensures our interventions are impactful, community-led, and community-owned."
2024,19,"Advancing our sustainability agenda",3,"moderate","Planned","SDG 13","aspiration, target","","","The company has committed to achieving net-zero carbon emissions by 2050.","We have committed to achieving net neutral in carbon emissions by 2050 for all operations under our direct control."
2024,19,"Advancing our sustainability agenda",3,"moderate","Mention only","SDG 6","kpi","✓","","The company received an A score in CDP Water Security, indicating strong performance in water management.","We are the only steelmaker globally to attain an A score in CDP Water Security this year."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 12","aspiration, initiative","","","JSW Steel is a founding member of the Resource Efficiency & Circular Economy Industry Coalition (RECEIC) to promote resource efficiency and circular economy.","JSW Steel is taking an active global advocacy in promoting resource efficiency and circular economy being one of the founding member of the Resource Efficiency & Circular Economy Industry Coalition ('RECEIC')."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 15","target","","","JSW Steel aims to achieve 'No Net Loss' of biodiversity by 2030.","JSW Steel pursues the biodiversity conservation for the protection and management of biodiversity to obtain resources for sustainable development, having its target to achieve a “No Net Loss” by 2030."
2024,21,"Charting a greener path, targeting Net Neutral by 2050",3,"moderate","Planned","SDG 13","aspiration, policy","","","The company committed to achieving net neutrality in carbon emissions by 2050.","In January 2024, we announced our commitment to achieving net neutrality in carbon emissions by 2050, significantly ahead of India's Net Zero commitments by 2070, through both short-term and long-term initiatives."
2024,48,"CLIMATE CHANGE",3,"moderate","Planned","SDG 13","aspiration, policy","","","The company states its commitment to a low-carbon future and has taken actions towards this goal.","Anchored in our commitment to forging a low-carbon future, we have embarked on a journey marked by decisive actions and strategic foresight."
2024,48,"CLIMATE CHANGE",3,"moderate","Planned","SDG 13","aspiration, target","","","The company states its ambition to achieve net-zero carbon emissions by 2050.","As the world grapples with the escalating impacts of climate change, sustainability has never been more crucial. At JSW Steel, we are rising to the challenge with an ambitious target: achieving net neutral in carbon emissions for all operations under our direct control by 2050."
2024,129,"STATUTORY REPORTS |",3,"moderate","Mention only","SDG 13","initiative","✓","","The company mentions reducing air and noise pollution and carbon absorption.","the temperature, reducing air and noise pollution, and absorbing up to 30 times more carbon."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 10, SDG 11, SDG 12, SDG 13, SDG 16, SDG 17","initiative","","","The company lists various interventions related to education, healthcare, sanitation, environment, and livelihoods.","The interventions range from strengthening educational institutions to provisioning of secondary and tertiary healthcare and strengthening of public health system, helping communities access basic sanitation and promoting hygiene, contributing towards water and environment conservation, facilitating women-centric livelihoods, and promoting agri-livelihoods approach."
2024,47,"INNOVATING FOR A GREENER TOMORROW At JSW Steel, all our business operations are underpinned by a singular guiding philosophy – minimising environmental footprint and promoting ecological well-being. Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural",3,"moderate","Mention only","SDG 12, SDG 13","policy, initiative","","","The company outlines key commitments related to environmental responsibility.","Our key commitments include integrating environmental considerations into our business strategies, preventing pollution, evaluating impacts, and fulfilling all related obligations."
2024,47,"INNOVATING FOR A GREENER TOMORROW At JSW Steel, all our business operations are underpinned by a singular guiding philosophy – minimising environmental footprint and promoting ecological well-being. Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural",3,"moderate","Planned","SDG 13","aspiration, target","","","The company aims to reduce its carbon footprint and promote sustainable practices.","With a focus on clear decarbonisation targets, our aim is to emerge as a recognised advocate for sustainable practices within our industry."
2024,47,"INNOVATING FOR A GREENER TOMORROW At JSW Steel, all our business operations are underpinned by a singular guiding philosophy – minimising environmental footprint and promoting ecological well-being. Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural",3,"moderate","Mention only","SDG 12, SDG 13, SDG 17","governance","✓","✓","The company has achieved high recognition in sustainability rankings.","We have been included in the DJSI World Index and the DJSI Index for Emerging Markets, with a 99th percentile score in the 2023 S&P Global Corporate Sustainability Assessment."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 12","initiative","","","The company foundation aims to improve waste management systems and promote a circular economy.","JSW Foundation strives to improve existing waste management systems and generate awareness to move towards a circular economy."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 8, SDG 5","initiative","","","The company foundation focuses on skills development for youth and women in rural areas.","JSW Foundation focuses on increasing the employability opportunity through skills development of youth and women in rural areas with innovative solutions."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 2","initiative","","","The company foundation aims to improve agricultural practices and increase farmer income.","The interventions aim to contribute to secure, inclusive and sustainable agricultural practices by working alongside farmers to increase production and income, encouraging methods among farmers through a variety of demonstration farms, trainings, and grassroots capacity development."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 3","initiative","","","The company foundation aims to develop sports infrastructure and support athletes.","JSW Foundation is paving the way for the development of sports by focusing on offering comprehensive and integrated solutions for communities from infrastructure support, to ensuring adequate nutrition and training to coaches, to partnering with government bodies and other organisations for growth."
2024,129,"STATUTORY REPORTS |",3,"moderate","Planned","SDG 7, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 8, SDG 5","target","","","The company has set targets for sustainability KPIs related to various environmental and social issues.","JSW Steel has set aggressive targets for Sustainability KPIs related to climate change, energy, water, waste, air emissions, biodiversity, safety, diversity, etc."
2024,22,"TOWARDS A GREENER, STRONGER FUTURE MESSAGE FROM THE JMD AND CEO Dear Stakeholders,",3,"moderate","Planned","SDG 13","target","","","The company has set a target to achieve Net Zero emissions by 2050.","At JSW Steel, our sustainability initiatives are both ambitious and strategic, and during the year, we announced a target of achieving Net Neutral emissions by 2050."
2024,22,"TOWARDS A GREENER, STRONGER FUTURE MESSAGE FROM THE JMD AND CEO Dear Stakeholders,",3,"moderate","Planned","SDG 7, SDG 12, SDG 13","initiative","","","The company plans to achieve its Net Zero target through various initiatives like improving energy efficiency and using renewable energy.","The short-term initiatives to achieve this target will be improving energy efficiency, transitioning towards renewable energy, improving material quality, increasing circularity, improving process efficiencies as well as utilising alternative fuel sources."
2024,129,"STATUTORY REPORTS |",2,"weak","Mention only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","policy","","","The company states its sustainability framework aligns with various international standards, including the UNSDGs.","JSW Steel’s sustainability framework is aligned to numerous national and international standards like ISO, IFC, UNGC, OECD, UNSDGs, UNGP-BHR, and the NGRBC."
2024,19,"Advancing our sustainability agenda",2,"weak","Mention only","SDG 13","initiative","","","The company has received recognition for its sustainability efforts through inclusion in indices and awards.","JSW Steel has been included in the DJSI World Index as well as the DJSI Emerging Markets Index, and our flagship decarbonisation program – SEED, has been awarded the Global Energy Transition Changemaker award at COP 28."
2024,19,"Advancing our sustainability agenda",2,"weak","Mention only","SDG 13","initiative","","","The company received a Leadership Rating in Climate Change for four consecutive years.","Additionally, JSW Steel was awarded a Leadership Rating in Climate change for the fourth consecutive year."
2024,10,"Our decarbonisation commitments",2,"weak","Mention only","SDG 13","aspiration, policy","","","The company's decarbonization strategy aligns with the IEA's roadmap and the Paris Agreement's goals to limit global warming.","Our decarbonisation strategy is structured around ambitious long-term targets, announced by the International Energy Agency’s (IEA) Iron and Steel Technology Roadmap (2020). This roadmap supports the Paris Agreement's objectives to limit global temperature rise to below 2°C, ideally to 1.5°C."
2024,48,"CLIMATE CHANGE",2,"weak","Mention only","SDG 13","policy","","","The company outlines its climate change policy with three key pillars: preventing climate change, mitigating and adapting to its impacts, and building resilience.","Our climate change policy is structured around three foundational pillars: ∞Preventing the causes of climate change ∞Mitigating and adapting to its impacts ∞Creating resilience to its ensuing effects"
2024,47,"INNOVATING FOR A GREENER TOMORROW At JSW Steel, all our business operations are underpinned by a singular guiding philosophy – minimising environmental footprint and promoting ecological well-being. Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural",2,"weak","Mention only","SDG 13","aspiration, policy","","","The company states its commitment to environmental protection through innovation and sustainable practices.","Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural changes, we mitigate long-term environmental risks while promoting sustainability."
2024,47,"INNOVATING FOR A GREENER TOMORROW At JSW Steel, all our business operations are underpinned by a singular guiding philosophy – minimising environmental footprint and promoting ecological well-being. Recognising the critical importance of nurturing a healthy environment, we have adopted a proactive approach. Through innovation, cutting-edge technologies, operational and cultural",2,"weak","Mention only","SDG 15","initiative","","","The company engages with stakeholders to promote environmental awareness and conservation.","Additionally, we engage with stakeholders to foster environmental awareness and lead conservation efforts in the ecosystems surrounding our operations."
2024,32,"Creating Value RISK MANAGEMENT Cyber security Carbon Border Adjust- ment Mechanism risk Environment protection and climate change Impact",2,"weak","Mention only","SDG 13","policy","","","The company acknowledges the increasing pressure for climate action and potential impact on its operations.","In India, as elsewhere, climate action is intensifying but any drastic change in carbon emission regulations may adversely impact our business and operations."
2024,32,"Creating Value RISK MANAGEMENT Cyber security Carbon Border Adjust- ment Mechanism risk Environment protection and climate change Impact",2,"weak","Mention only","SDG 13","policy","","","The company recognizes the potential financial and operational impacts of complying with stricter environmental regulations.","Compliance with new and more stringent environmental obligations related to greenhouse gas (GHG) emissions may require additional capital expenditure or modifications in operating practices and additional reporting obligations."
